sampleID,filename_R1,extraction_no,label,growth_t4_corrected,in_obj_TempOrigin,in_obj_TempSurface,seq_DNA16S,seq_RNAmetatr,Sample_or_Control,sample_typ,sample_combi_this_is_treatment_group,last_timepoint,died_during_experiment,treat_origin,treat_temp,treat_surface,tank,pseudorep,dayt,swab,order,growth_punch,punch_length_t1t2,growth_rate_t1t2,punch_length_t2t3,growth_rate_t2t3,punch_length_t3t4,punch_length_t3t4_corrected,growth_rate_t3t4,growth_rate_t3t4_corrected,punch_length_t1t3,growth_rate_t1t3,punch_length_t1t4,punch_length_t1t4_corrected,growth_rate_t1t4,growth_rate_t1t4_corrected,bleach_bl,bleach_bl_t1,bleach_bl_t2,bleach_bl_t3,bleach_bl_t4,weight_punch,FvFm,wartz,weight_t3 samples,weight_t3 leftover,length_bl_t1,length_total_t1,weight_total_t1,diam_bulb_t1,length_sthf_t1,length_sthf_t4,survival_status
104_w14d-32B-t4,,104,kelp_wild14disr_32B_DNA16S_survived_t4,False,False,True,True,False,true sample,swab,kelp_wild14disr,t4,False,wild,14,disr,32,B,t4,blade,197,7.5,,,,,1,1,0.333333333,0.333333333,,,4.5,4.5,0.409090909,0.409090909,2,0,50,5,2,0.05,,present,,,,,,,,18.5,survived_t4
200_w14d-32C-t1,,200,kelp_wild14disr_32C_DNA16S_survived_t4,False,False,True,True,False,true sample,swab,kelp_wild14disr,t4,False,wild,14,disr,32,C,t1,blade,198,3,,,,,,,,,,,,,,,0,0,5,10,2,,,absent,,,19,60.2,5.85,17,24.2,,survived_t4
X_w14d-32C-t2,,,kelp_wild14disr_32C_no_sequence_survived_t4,False,False,True,False,False,,,kelp_wild14disr,t4,False,wild,14,disr,32,C,t2,na,550,9,6,1.5,,,,,,,,,,,,,5,0,5,10,2,,,,,,,,,,,,survived_t4
351_w14d-32C-t3,,351,kelp_wild14disr_32C_DNA16S_survived_t4,False,False,True,True,False,true sample,swab,kelp_wild14disr,t4,False,wild,14,disr,32,C,t3,blade,199,15.5,,,6.5,1.625,,,,,12.5,1.5625,,,,,10,0,5,10,2,,0.756,,0,4.58,,,,,,,survived_t4
106_w14d-32C-t4,,106,kelp_wild14disr_32C_DNA16S_survived_t4,False,False,True,True,False,true sample,swab,kelp_wild14disr,t4,False,wild,14,disr,32,C,t4,blade,200,18.5,,,,,3,3,1,1,,,15.5,15.5,1.409090909,1.409090909,2,0,5,10,2,0.06,,present,,,,,,,,25,survived_t4
157_w14d-33A-t1,,157,kelp_wild14disr_33A_DNA16S_survived_t4,False,False,True,True,False,true sample,swab,kelp_wild14disr,t4,False,wild,14,disr,33,A,t1,blade,201,3,,,,,,,,,,,,,,,0,0,15,50,15,,,present,,,19.5,42.1,3.32,10,12.6,,survived_t4
X_w14d-33A-t2,,,kelp_wild14disr_33A_no_sequence_survived_t4,False,False,True,False,False,,,kelp_wild14disr,t4,False,wild,14,disr,33,A,t2,na,551,5,2,0.5,,,,,,,,,,,,,15,0,15,50,15,,,,,,,,,,,,survived_t4
292_w14d-33A-t3,,292,kelp_wild14disr_33A_DNA16S_RNA_survived_t4,False,False,True,True,True,true sample,swab,kelp_wild14disr,t4,False,wild,14,disr,33,A,t3,blade,202,8,,,3,0.75,,,,,5,0.625,,,,,50,0,15,50,15,,0.748,,0.97,0.81,,,,,,,survived_t4
95_w14d-33A-t4,,95,kelp_wild14disr_33A_DNA16S_survived_t4,False,False,True,True,False,true sample,swab,kelp_wild14disr,t4,False,wild,14,disr,33,A,t4,blade,203,10,,,,,2,2,0.666666667,0.666666667,,,7,7,0.636363636,0.636363636,15,0,15,50,15,0.05,,present,,,,,,,,12.5,survived_t4
181_w14d-33B-t1,,181,kelp_wild14disr_33B_DNA16S_survived_t4,False,False,True,True,False,true sample,swab,kelp_wild14disr,t4,False,wild,14,disr,33,B,t1,blade,204,3,,,,,,,,,,,,,,,0,0,5,15,2,,,present,,,19,62.7,8.67,20,23.7,,survived_t4
X_w14d-33B-t2,,,kelp_wild14disr_33B_no_sequence_survived_t4,False,False,True,False,False,,,kelp_wild14disr,t4,False,wild,14,disr,33,B,t2,na,552,9.5,6.5,1.625,,,,,,,,,,,,,5,0,5,15,2,,,,,,,,,,,,survived_t4
331_w14d-33B-t3,,331,kelp_wild14disr_33B_DNA16S_survived_t4,False,False,True,True,False,true sample,swab,kelp_wild14disr,t4,False,wild,14,disr,33,B,t3,blade,205,16,,,6.5,1.625,,,,,13,1.625,,,,,15,0,5,15,2,,0.829,,1.14,4.06,,,,,,,survived_t4
105_w14d-33B-t4,,105,kelp_wild14disr_33B_DNA16S_survived_t4,False,False,True,True,False,true sample,swab,kelp_wild14disr,t4,False,wild,14,disr,33,B,t4,blade,206,21,,,,,5,5,1.666666667,1.666666667,,,18,18,1.636363636,1.636363636,2,0,5,15,2,0.06,,present,,,,,,,,33.5,survived_t4
218_w14d-33C-t1,,218,kelp_wild14disr_33C_DNA16S_survived_t4,False,False,True,True,False,true sample,swab,kelp_wild14disr,t4,False,wild,14,disr,33,C,t1,blade,207,3,,,,,,,,,,,,,,,0,0,13,15,17,,,absent,,,29.5,72.1,11.98,25.5,17.1,,survived_t4
X_w14d-33C-t2,,,kelp_wild14disr_33C_no_sequence_survived_t4,False,False,True,False,False,,,kelp_wild14disr,t4,False,wild,14,disr,33,C,t2,na,553,9.5,6.5,1.625,,,,,,,,,,,,,13,0,13,15,17,,,,,,,,,,,,survived_t4
350_w14d-33C-t3,,350,kelp_wild14disr_33C_DNA16S_survived_t4,False,False,True,True,False,true sample,swab,kelp_wild14disr,t4,False,wild,14,disr,33,C,t3,blade,208,15,,,5.5,1.375,,,,,12,1.5,,,,,15,0,13,15,17,,0.75,,1.24,2.39,,,,,,,survived_t4
107_w14d-33C-t4,,107,kelp_wild14disr_33C_DNA16S_survived_t4,False,False,True,True,False,true sample,swab,kelp_wild14disr,t4,False,wild,14,disr,33,C,t4,blade,209,19.5,,,,,4.5,4.5,1.5,1.5,,,16.5,16.5,1.5,1.5,17,0,13,15,17,0.04,,,,,,,,,,22.6,survived_t4
163_w18n-10A-t1,,163,kelp_wild18nat_10A_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,10,A,t1,blade,210,3,,,,,,,,,,,,,,,0,0,10,40,10,,,present,,,12.1,38.1,3.17,13.5,12.5,,survived_t4
X_w18n-10A-t2,,,kelp_wild18nat_10A_no_sequence_survived_t4,False,True,True,False,False,,,kelp_wild18nat,t4,False,wild,18,nat,10,A,t2,na,554,6,3,0.75,,,,,,,,,,,,,10,0,10,40,10,,,,,,,,,,,,survived_t4
263_w18n-10A-t3,NS.X0321.002.NEBNext_dual_i7_223---NEBNext_dual_i5_271.263_w18n-10A-t3_R1.fastq.gz,263,kelp_wild18nat_10A_DNA16S_RNA_survived_t4,False,True,True,True,True,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,10,A,t3,blade,211,5,,,-1,-0.25,,,,,2,0.25,,,,,40,0,10,40,10,,0.783,,0,0.79,,,,,,,survived_t4
21_w18n-10A-t4,,21,kelp_wild18nat_10A_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,10,A,t4,blade,212,6,,,,,1,1,0.333333333,0.333333333,,,3,3,0.272727273,0.272727273,10,0,10,40,10,,,present,,,,,,,,10.5,survived_t4
187_w18n-10C-t1,,187,kelp_wild18nat_10C_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,10,C,t1,blade,213,3,,,,,,,,,,,,,,,0,0,2,65,55,,,absent,,,24.5,57.5,7.14,21,12,,survived_t4
X_w18n-10C-t2,,,kelp_wild18nat_10C_no_sequence_survived_t4,False,True,True,False,False,,,kelp_wild18nat,t4,False,wild,18,nat,10,C,t2,na,559,8.5,5.5,1.375,,,,,,,,,,,,,2,0,2,65,55,,,,,,,,,,,,survived_t4
282_w18n-10C-t3,,282,kelp_wild18nat_10C_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,10,C,t3,blade,214,7.5,,,-1,-0.25,,,,,4.5,0.5625,,,,,65,0,2,65,55,,0.734,,0,1.32,,,,,,,survived_t4
37_w18n-10C-t4,,37,kelp_wild18nat_10C_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,10,C,t4,blade,215,11,,,,,3.5,3.5,1.166666667,1.166666667,,,8,8,0.727272727,0.727272727,55,0,2,65,55,0.06,,,,,,,,,,13.5,survived_t4
219_w18n-10E-t1,,219,kelp_wild18nat_10E_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,10,E,t1,blade,216,3,,,,,,,,,,,,,,,0,0,0,50,25,,,present,,,10.5,47.2,4.68,18.5,18.2,,survived_t4
X_w18n-10E-t2,,,kelp_wild18nat_10E_no_sequence_survived_t4,False,True,True,False,False,,,kelp_wild18nat,t4,False,wild,18,nat,10,E,t2,na,564,6.5,3.5,0.875,,,,,,,,,,,,,0,0,0,50,25,,,,,,,,,,,,survived_t4
306_w18n-10E-t3,,306,kelp_wild18nat_10E_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,10,E,t3,blade,217,7.5,,,1,0.25,,,,,4.5,0.5625,,,,,50,0,0,50,25,,0.787,,0,1.72,,,,,,,survived_t4
58_w18n-10E-t4,,58,kelp_wild18nat_10E_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,10,E,t4,blade,218,11,,,,,3.5,3.5,1.166666667,1.166666667,,,8,8,0.727272727,0.727272727,25,0,0,50,25,0.06,,present,,,,,,,,19.7,survived_t4
164_w18n-19B-t1,,164,kelp_wild18nat_19B_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,19,B,t1,blade,219,3,,,,,,,,,,,,,,,0,0,2,95,95,,,present,,,19,48.7,4.74,18.5,11.2,,survived_t4
X_w18n-19B-t2,,,kelp_wild18nat_19B_no_sequence_survived_t4,False,True,True,False,False,,,kelp_wild18nat,t4,False,wild,18,nat,19,B,t2,na,573,7,4,1,,,,,,,,,,,,,2,0,2,95,95,,,,,,,,,,,,survived_t4
283_w18n-19B-t3,NS.X0321.002.NEBNext_dual_i7_224---NEBNext_dual_i5_272.283_w18n-19B-t3_R1.fastq.gz,283,kelp_wild18nat_19B_DNA16S_RNA_survived_t4,False,True,True,True,True,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,19,B,t3,blade,220,6,,,-1,-0.25,,,,,3,0.375,,,,,95,0,2,95,95,,0.77,,0,1.57,,,,,,,survived_t4
22_w18n-19B-t4,,22,kelp_wild18nat_19B_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,19,B,t4,blade,221,8,,,,,2,2,0.666666667,0.666666667,,,5,5,0.454545455,0.454545455,95,0,2,95,95,0.06,,,,,,,,,,12,survived_t4
188_w18n-19D-t1,,188,kelp_wild18nat_19D_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,19,D,t1,blade,222,3,,,,,,,,,,,,,,,0,0,5,15,70,,,present,,,24,52.6,6.41,17,11.6,,survived_t4
X_w18n-19D-t2,,,kelp_wild18nat_19D_no_sequence_survived_t4,False,True,True,False,False,,,kelp_wild18nat,t4,False,wild,18,nat,19,D,t2,na,578,7.5,4.5,1.125,,,,,,,,,,,,,5,0,5,15,70,,,,,,,,,,,,survived_t4
307_w18n-19D-t3,,307,kelp_wild18nat_19D_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,19,D,t3,blade,223,10,,,2.5,0.625,,,,,7,0.875,,,,,15,0,5,15,70,,0.797,,0,1.97,,,,,,,survived_t4
38_w18n-19D-t4,,38,kelp_wild18nat_19D_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,19,D,t4,blade,224,12,,,,,2,2,0.666666667,0.666666667,,,9,9,0.818181818,0.818181818,70,0,5,15,70,0.06,,present,,,,,,,,14.2,survived_t4
220_w18n-19F-t1,,220,kelp_wild18nat_19F_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,19,F,t1,blade,225,3,,,,,,,,,,,,,,,0,0,5,35,10,,,absent,,,38,124.8,17.84,30,56.8,,survived_t4
X_w18n-19F-t2,,,kelp_wild18nat_19F_no_sequence_survived_t4,False,True,True,False,False,,,kelp_wild18nat,t4,False,wild,18,nat,19,F,t2,na,583,7.5,4.5,1.125,,,,,,,,,,,,,5,0,5,35,10,,,,,,,,,,,,survived_t4
323_w18n-19F-t3,,323,kelp_wild18nat_19F_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,19,F,t3,blade,226,8.5,,,1,0.25,,,,,5.5,0.6875,,,,,35,0,5,35,10,,0.768,,0,2.16,,,,,,,survived_t4
85_w18n-19F-t4,,85,kelp_wild18nat_19F_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,19,F,t4,blade,227,8.5,,,,,0,0,0,0,,,5.5,5.5,0.5,0.5,10,0,5,35,10,0.08,,,,,,,,,,60,survived_t4
165_w18n-26C-t1,,165,kelp_wild18nat_26C_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,26,C,t1,blade,228,3,,,,,,,,,,,,,,,0,0,5,40,65,,,present,,,28.4,79.2,7.73,19.5,31.3,,survived_t4
X_w18n-26C-t2,,,kelp_wild18nat_26C_no_sequence_survived_t4,False,True,True,False,False,,,kelp_wild18nat,t4,False,wild,18,nat,26,C,t2,na,592,7,4,1,,,,,,,,,,,,,5,0,5,40,65,,,,,,,,,,,,survived_t4
308_w18n-26C-t3,NS.X0321.002.NEBNext_dual_i7_225---NEBNext_dual_i5_273.308_w18n-26C-t3_R1.fastq.gz,308,kelp_wild18nat_26C_DNA16S_RNA_survived_t4,False,True,True,True,True,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,26,C,t3,blade,229,7.5,,,0.5,0.125,,,,,4.5,0.5625,,,,,40,0,5,40,65,,0.813,,1.16,1.33,,,,,,,survived_t4
39_w18n-26C-t4,,39,kelp_wild18nat_26C_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,26,C,t4,blade,230,9.5,,,,,2,2,0.666666667,0.666666667,,,6.5,6.5,0.590909091,0.590909091,65,0,5,40,65,0.06,,present,,,,,,,,34.3,survived_t4
189_w18n-26E-t1,,189,kelp_wild18nat_26E_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,26,E,t1,blade,231,3,,,,,,,,,,,,,,,0,0,0,40,40,,,present,,,15.8,48.3,4.16,15.5,17,,survived_t4
X_w18n-26E-t2,,,kelp_wild18nat_26E_no_sequence_survived_t4,False,True,True,False,False,,,kelp_wild18nat,t4,False,wild,18,nat,26,E,t2,na,597,5.5,2.5,0.625,,,,,,,,,,,,,0,0,0,40,40,,,,,,,,,,,,survived_t4
322_w18n-26E-t3,,322,kelp_wild18nat_26E_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,26,E,t3,blade,232,7,,,1.5,0.375,,,,,4,0.5,,,,,40,0,0,40,40,,0.75,,1.55,1.56,,,,,,,survived_t4
86_w18n-26E-t4,,86,kelp_wild18nat_26E_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,26,E,t4,blade,233,8,,,,,1,1,0.333333333,0.333333333,,,5,5,0.454545455,0.454545455,40,0,0,40,40,0.07,,present,,,,,,,,17.8,survived_t4
221_w18n-26F-t1,,221,kelp_wild18nat_26F_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,26,F,t1,blade,234,3,,,,,,,,,,,,,,,0,0,5,30,25,,,present,,,23.2,45.3,4.56,13.5,8.6,,survived_t4
X_w18n-26F-t2,,,kelp_wild18nat_26F_no_sequence_survived_t4,False,True,True,False,False,,,kelp_wild18nat,t4,False,wild,18,nat,26,F,t2,na,598,6,3,0.75,,,,,,,,,,,,,5,0,5,30,25,,,,,,,,,,,,survived_t4
284_w18n-26F-t3,,284,kelp_wild18nat_26F_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,26,F,t3,blade,235,7.5,,,1.5,0.375,,,,,4.5,0.5625,,,,,30,0,5,30,25,,0.829,,1.38,2.12,,,,,,,survived_t4
111_w18n-26F-t4,,111,kelp_wild18nat_26F_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,26,F,t4,blade,236,8.5,,,,,1,1,0.333333333,0.333333333,,,5.5,5.5,0.5,0.5,25,0,5,30,25,0.06,,present,,,,,,,,10.2,survived_t4
166_w18n-27B-t1,,166,kelp_wild18nat_27B_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,27,B,t1,blade,237,3,,,,,,,,,,,,,,,0,0,5,35,15,,,present,,,26.5,70.6,10.22,22,22.1,,survived_t4
X_w18n-27B-t2,,,kelp_wild18nat_27B_no_sequence_survived_t4,False,True,True,False,False,,,kelp_wild18nat,t4,False,wild,18,nat,27,B,t2,na,603,7.5,4.5,1.125,,,,,,,,,,,,,5,0,5,35,15,,,,,,,,,,,,survived_t4
309_w18n-27B-t3,,309,kelp_wild18nat_27B_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,27,B,t3,blade,238,8,,,0.5,0.125,,,,,5,0.625,,,,,35,0,5,35,15,,0.788,,1.19,1.53,,,,,,,survived_t4
40_w18n-27B-t4,,40,kelp_wild18nat_27B_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,27,B,t4,blade,239,11.5,,,,,3.5,3.5,1.166666667,1.166666667,,,8.5,8.5,0.772727273,0.772727273,15,0,5,35,15,0.07,,present,,,,,,,,32,survived_t4
190_w18n-27D-t1,,190,kelp_wild18nat_27D_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,27,D,t1,blade,240,3,,,,,,,,,,,,,,,0,0,0,15,3,,,present,,,18.5,70.1,12.44,27.5,24.1,,survived_t4
X_w18n-27D-t2,,,kelp_wild18nat_27D_no_sequence_survived_t4,False,True,True,False,False,,,kelp_wild18nat,t4,False,wild,18,nat,27,D,t2,na,608,9,6,1.5,,,,,,,,,,,,,0,0,0,15,3,,,,,,,,,,,,survived_t4
285_w18n-27D-t3,,285,kelp_wild18nat_27D_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,27,D,t3,blade,241,12.5,,,3.5,0.875,,,,,9.5,1.1875,,,,,15,0,0,15,3,,0.767,,1.04,1.66,,,,,,,survived_t4
112_w18n-27D-t4,,112,kelp_wild18nat_27D_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,27,D,t4,blade,242,16.5,,,,,4,4,1.333333333,1.333333333,,,13.5,13.5,1.227272727,1.227272727,3,0,0,15,3,0.09,,,,,,,,,,33.7,survived_t4
222_w18n-27F-t1,,222,kelp_wild18nat_27F_DNA16S_survived_t4,True,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,27,F,t1,blade,243,3,,,,,,0,,0,,,,,,,0,0,1,10,15,,,present,,,15.5,55.9,4.97,16,24.4,,survived_t4
X_w18n-27F-t2,,,kelp_wild18nat_27F_no_sequence_survived_t4,True,True,True,False,False,,,kelp_wild18nat,t4,False,wild,18,nat,27,F,t2,na,613,5.5,2.5,0.625,,,,0,,0,,,,,,,1,0,1,10,15,,,,,,,,,,,,survived_t4
321_w18n-27F-t3,,321,kelp_wild18nat_27F_DNA16S_survived_t4,True,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,27,F,t3,blade,244,7,,,1.5,0.375,,0,,0,4,0.5,,4,,0.5,10,0,1,10,15,,0.749,,1.07,1.21,,,,,,,survived_t4
113_w18n-27F-t4,,113,kelp_wild18nat_27F_DNA16S_survived_t4,True,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,27,F,t4,blade,245,6.5,,,,,-0.5,0,-0.166666667,0,,,3.5,,0.318181818,,15,0,1,10,15,0.07,,present,,,,,,,,26.2,survived_t4
167_w18n-39B-t1,,167,kelp_wild18nat_39B_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,39,B,t1,blade,246,3,,,,,,,,,,,,,,,0,0,2,35,65,,,present,,,23,66,7.39,19.5,23.5,,survived_t4
X_w18n-39B-t2,,,kelp_wild18nat_39B_no_sequence_survived_t4,False,True,True,False,False,,,kelp_wild18nat,t4,False,wild,18,nat,39,B,t2,na,618,8,5,1.25,,,,,,,,,,,,,2,0,2,35,65,,,,,,,,,,,,survived_t4
286_w18n-39B-t3,,286,kelp_wild18nat_39B_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,39,B,t3,blade,247,8.5,,,0.5,0.125,,,,,5.5,0.6875,,,,,35,0,2,35,65,,0.695,,1.4,2.17,,,,,,,survived_t4
25_w18n-39B-t4,,25,kelp_wild18nat_39B_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,39,B,t4,blade,248,10,,,,,1.5,1.5,0.5,0.5,,,7,7,0.636363636,0.636363636,65,0,2,35,65,0.08,,present,,,,,,,,25.7,survived_t4
191_w18n-39D-t1,,191,kelp_wild18nat_39D_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,39,D,t1,blade,249,3,,,,,,,,,,,,,,,0,0,5,10,10,,,present,,,20.6,89.7,8.13,25.5,43.6,,survived_t4
X_w18n-39D-t2,,,kelp_wild18nat_39D_no_sequence_survived_t4,False,True,True,False,False,,,kelp_wild18nat,t4,False,wild,18,nat,39,D,t2,na,623,7,4,1,,,,,,,,,,,,,5,0,5,10,10,,,,,,,,,,,,survived_t4
310_w18n-39D-t3,,310,kelp_wild18nat_39D_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,39,D,t3,blade,250,8,,,1,0.25,,,,,5,0.625,,,,,10,0,5,10,10,,0.727,,1.13,1.36,,,,,,,survived_t4
41_w18n-39D-t4,,41,kelp_wild18nat_39D_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,39,D,t4,blade,251,10.5,,,,,2.5,2.5,0.833333333,0.833333333,,,7.5,7.5,0.681818182,0.681818182,10,0,5,10,10,0.07,,present,,,,,,,,46.2,survived_t4
223_w18n-39F-t1,,223,kelp_wild18nat_39F_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,39,F,t1,blade,252,3,,,,,,,,,,,,,,,0,0,10,55,50,,,present,,,25.7,77.2,9.85,20.5,31,,survived_t4
X_w18n-39F-t2,,,kelp_wild18nat_39F_no_sequence_survived_t4,False,True,True,False,False,,,kelp_wild18nat,t4,False,wild,18,nat,39,F,t2,na,628,9.5,6.5,1.625,,,,,,,,,,,,,10,0,10,55,50,,,,,,,,,,,,survived_t4
319_w18n-39F-t3,,319,kelp_wild18nat_39F_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,39,F,t3,blade,253,7,,,-2.5,-0.625,,,,,4,0.5,,,,,55,0,10,55,50,,0.781,,1.25,2.22,,,,,,,survived_t4
88_w18n-39F-t4,,88,kelp_wild18nat_39F_DNA16S_survived_t4,False,True,True,True,False,true sample,swab,kelp_wild18nat,t4,False,wild,18,nat,39,F,t4,blade,254,8,,,,,1,1,0.333333333,0.333333333,,,5,5,0.454545455,0.454545455,50,0,10,55,50,,,,,,,,,,,35,survived_t4
126_w18d-1C-t1,,126,kelp_wild18disr_1C_DNA16S_survived_t4,True,False,True,True,False,true sample,swab,kelp_wild18disr,t4,False,wild,18,disr,1,C,t1,blade,255,3,,,,,,0,,0,,,,,,,0,0,5,70,95,,,absent,,,14,50.5,4.05,16,20.5,,survived_t4
X_w18d-1C-t2,,,kelp_wild18disr_1C_no_sequence_survived_t4,True,False,True,False,False,,,kelp_wild18disr,t4,False,wild,18,disr,1,C,t2,na,637,6,3,0.75,,,,0,,0,,,,,,,5,0,5,70,95,,,,,,,,,,,,survived_t4
247_w18d-1C-t3,,247,kelp_wild18disr_1C_DNA16S_survived_t4,True,False,True,True,False,true sample,swab,kelp_wild18disr,t4,False,wild,18,disr,1,C,t3,blade,256,7,,,1,0.25,,0,,0,4,0.5,,4,,0.5,70,0,5,70,95,,0.781,,1.06,0.82,,,,,,,survived_t4
16_w18d-1C-t4,,16,kelp_wild18disr_1C_DNA16S_survived_t4,True,False,True,True,False,true sample,swab,kelp_wild18disr,t4,False,wild,18,disr,1,C,t4,blade,257,6.5,,,,,-0.5,0,-0.166666667,0,,,3.5,,0.318181818,,95,0,5,70,95,0.06,,present,,,,,,,,21.4,survived_t4
168_w18d-1E-t1,,168,kelp_wild18disr_1E_DNA16S_survived_t4,False,False,True,True,False,true sample,swab,kelp_wild18disr,t4,False,wild,18,disr,1,E,t1,blade,258,3,,,,,,,,,,,,,,,0,0,5,60,45,,,absent,,,14.5,44.1,4.36,17,12.6,,survived_t4
X_w18d-1E-t2,,,kelp_wild18disr_1E_no_sequence_survived_t4,False,False,True,False,False,,,kelp_wild18disr,t4,False,wild,18,disr,1,E,t2,na,642,7,4,1,,,,,,,,,,,,,5,0,5,60,45,,,,,,,,,,,,survived_t4
311_w18d-1E-t3,,311,kelp_wild18disr_1E_DNA16S_survived_t4,False,False,True,True,False,true sample,swab,kelp_wild18disr,t4,False,wild,18,disr,1,E,t3,blade,259,7,,,0,0,,,,,4,0.5,,,,,60,0,5,60,45,,0.799,,0.97,0.7,,,,,,,survived_t4
59_w18d-1E-t4,,59,kelp_wild18disr_1E_DNA16S_survived_t4,False,False,True,True,False,true sample,swab,kelp_wild18disr,t4,False,wild,18,disr,1,E,t4,blade,260,9,,,,,2,2,0.666666667,0.666666667,,,6,6,0.545454545,0.545454545,45,0,5,60,45,0.08,,present,,,,,,,,14.5,survived_t4
182_w18d-1F-t1,,182,kelp_wild18disr_1F_DNA16S_survived_t4,False,False,True,True,False,true sample,swab,kelp_wild18disr,t4,False,wild,18,disr,1,F,t1,blade,261,3,,,,,,,,,,,,,,,0,0,55,60,45,,,absent,,,22,72,14.63,28,22,,survived_t4
X_w18d-1F-t2,,,kelp_wild18disr_1F_no_sequence_survived_t4,False,False,True,False,False,,,kelp_wild18disr,t4,False,wild,18,disr,1,F,t2,na,643,5.5,2.5,0.625,,,,,,,,,,,,,55,0,55,60,45,,,,,,,,,,,,survived_t4
277_w18d-1F-t3,,277,kelp_wild18disr_1F_DNA16S_survived_t4,False,False,True,True,False,true sample,swab,kelp_wild18disr,t4,False,wild,18,disr,1,F,t3,blade,262,6.5,,,1,0.25,,,,,3.5,0.4375,,,,,60,0,55,60,45,,0.796,,0.99,0.7,,,,,,,survived_t4
